rank,name,year,certification,duration,rating,review_count,director,writer,genre,stars
29,Jaws: The Revenge,1987,PG-13,1h 29m,3.0,49K,['Joseph Sargent'],"['Writers', 'Peter Benchley', 'Michael De Guzman', '']","['Adventure', 'Horror', 'Thriller']","['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles']"
30,Troll 2,1990,PG-13,1h 35m,2.9,34K,['Claudio Fragasso'],"['Writers', 'Rossella Drudi', 'Claudio Fragasso', '']","['Comedy', 'Fantasy', 'Horror']","['Michael Paul Stephenson', 'George Hardy', 'Margo Prey']"
31,BloodRayne,2005,R,1h 35m,3.0,37K,['Uwe Boll'],['Guinevere Turner'],"['Action', 'Fantasy', 'Horror']","['Kristanna Loken', 'Ben Kingsley', 'Michelle Rodriguez']"
32,Mega Shark vs. Giant Octopus,2009,R,1h 28m,2.5,11K,['Jack Perez'],['Jack Perez'],"['Action', 'Adventure', 'Comedy']","['Lorenzo Lamas', 'Debbie Gibson', 'Vic Chao']"
33,365 Days: This Day,2022,TV-MA,1h 51m,2.6,23K,"['Barbara Bialowas', 'Tomasz Mandes']","['Writers', 'Mojca Tirs', 'Blanka Lipinska', 'Tomasz Mandes', '']","['Drama', 'Romance']","['Anna-Maria Sieklucka', 'Michele Morrone', 'Simone Susinna']"
34,Jeepers Creepers: Reborn,2022,R,1h 28m,2.5,13K,['Timo Vuorensola'],"['Jake Seal', 'Sean-Michael Argo']","['Horror', 'Mystery', 'Thriller']","['Gary Graham', 'Dee Wallace', 'Timo Vuorensola']"
35,Hobgoblins,1988,Not Rated,1h 28m,2.2,12K,['Rick Sloane'],['Rick Sloane'],"['Comedy', 'Horror', 'Sci-Fi']","['Tom Bartlett', 'Paige Sullivan', 'Steven Boggs']"
36,Left Behind,2014,PG-13,1h 50m,3.1,42K,['Vic Armstrong'],"['Writers', 'Paul Lalonde', 'John Patus', 'Tim LaHaye', '']","['Action', 'Fantasy', 'Sci-Fi']","['Nicolas Cage', 'Lea Thompson', 'Cassi Thomson']"
37,The Cost of Deception,2021,,,1.5,40K,['Keith English'],"['Writer', 'Balázs Bendi', '']","['Action', 'Crime', 'Drama']","['Vivianne Bánovits', 'András Mózes', 'Barna Bokor']"
38,365 Days,2020,TV-MA,1h 54m,3.3,96K,"['Barbara Bialowas', 'Tomasz Mandes']","['Writers', 'Tomasz Klimala', 'Tomasz Mandes', 'Barbara Bialowas', '']","['Drama', 'Romance']","['Anna-Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski']"
39,Enes Batur: Imagination or Reality?,2018,,,2.0,56K,['Kamil Cetin'],"['Enes Batur', 'Busra Nur Karahan', 'Enver Sülük']",['Comedy'],"['Enes Batur', 'Bilal Hanci', 'Atakan Özyurt']"
40,Who's Your Caddy?,2007,PG-13,1h 33m,2.2,15K,['Don Michael Paul'],"['Don Michael Paul', 'Bradley Allenstein', 'Robert Henny']","['Comedy', 'Sport']","['Big Boi', 'Jeffrey Jones', 'Terry Crews']"
41,Jack and Jill,2011,PG,1h 31m,3.3,89K,['Dennis Dugan'],"['Writers', 'Ben Zook', 'Steve Koren', 'Adam Sandler', '']",['Comedy'],"['Adam Sandler', 'Katie Holmes', 'Al Pacino']"
42,Rollerball,2002,PG-13,1h 38m,3.1,29K,['John McTiernan'],"['Writers', 'William Harrison', 'Larry Ferguson', 'John Pogue', '']","['Action', 'Sci-Fi', 'Sport']","['Chris Klein', 'Jean Reno', 'LL Cool J']"
43,Santa Claus Conquers the Martians,1964,Not Rated,1h 21m,2.7,12K,['Nicholas Webster'],"['Glenville Mareth', 'Paul L. Jacobson']","['Adventure', 'Comedy', 'Family']","['John Call', 'Leonard Hicks', 'Vincent Beck']"
44,Adipurush,2023,,,3.4,131K,['Om Raut'],"['Writers', 'Manoj Muntashir', 'Om Raut', '']","['Action', 'Adventure', 'Drama']","['Kriti Sanon', 'Saif Ali Khan', 'Prabhas']"
45,Winnie the Pooh: Blood and Honey,2023,Not Rated,1h 24m,2.9,24K,['Rhys Frake-Waterfield'],"['Rhys Frake-Waterfield', 'A.A. Milne']",['Horror'],"['Nikolai Leon', 'Maria Taylor', 'Natasha Rose Mills']"
46,Slender Man,2018,PG-13,1h 33m,3.2,37K,['Sylvain White'],"['David Birke', 'Victor Surge']","['Horror', 'Mystery', 'Thriller']","['Joey King', 'Julia Goldani Telles', 'Jaz Sinclair']"
47,Catwoman,2004,PG-13,1h 44m,3.4,124K,['Pitof'],"['Writers', 'Bob Kane', 'Theresa Rebeck', 'John Brancato', '']","['Action', 'Crime', 'Fantasy']","['Halle Berry', 'Sharon Stone', 'Benjamin Bratt']"
